source,target
快照,快照
任务中心,任務中心
消息,通知中心
笔记,筆記
漫画,漫畫
语音备忘录,語音備忘錄
监控中心,監控中心
Uliya,Uliya
保险箱,保險箱
Home Assistant,Home Assistant
回收站,資源回收筒
SAN Manger,SAN Manger
Music Tag Web,Music Tag Web
节点小宝,Owjdxb
OpenClaw,OpenClaw
Hermes Agent,Hermes Agent
Lucky,Lucky
AI Plugins,AI Plugins
EasyNVR,EasyNVR
Halo,Halo
OpenList,OpenList
qBittorrent,qBittorrent
TaoSync,TaoSync
Jellyfin,Jellyfin
迅雷,迅雷
NVIDIA 驱动 570.181,NVIDIA 驅動程式 570.181
NVIDIA 工具包,NVIDIA 工具
Firefox,Firefox
思源笔记,思源筆記
手动安装,手動安裝
系统管理,系統管理
实用工具,實用工具
影音娱乐,影音娛樂
按下载次数,依下載次數排序
处理中...,處理中...
不兼容,不相容
对应的,對應的
指定的存储位置,指定的儲存位置
默认存储位置,預設儲存位置
每次询问,每次詢問
存储空间1,儲存空間1
桌面快捷方式,桌面捷徑
服务详情,應用程式詳細資訊
定期扫描设备,定期掃描裝置
历史版本,歷史版本
问题,問題
存储容量,儲存容量
SSD缓存,SSD快取
读写速度,讀寫速度
图标,圖示
屏蔽,封鎖
内置存储,內建儲存
系统异常,系統異常
归档,歸檔
纯文本内容,純文字內容
多种编码格式,多種編碼格式
语法高亮,語法突顯
PT类资源,PT類資源
下载内核,下載核心
修复,修復
固件,韌體
物理服务器,物理伺服器
工作负载,工作負載
虚拟化环境,虛擬化環境
轻量级,輕量化
自动更新应用,自動更新應用程式
自动更新所有应用的重要版本,僅自動更新重要版本
选择程序来源,選擇程式來源
开发者,開發者
发布者,發行者
举报,檢舉
最新版本,最新版本
其他信息,其他資訊
知识中心,知識中心
应用指南,應用程式指南
运行日志,執行日誌
漏洞提交,漏洞回報
视频教程,影片教學
应用教程,應用程式教學
故障排除,疑難排解
辅助工具,輔助工具
技术支持,技術支援
参与公测,參與公測
调试模式,除錯模式
版本发行说明,版本發行說明
索引服务,索引服務
运行状态,執行狀態
内存,記憶體
缓存,快取
空闲中,閒置中
索引库,索引資料庫
停用服务,停用服務
结束进程,結束處理程序
利用率,使用率
传输性能,傳輸效能
读取速度,讀取速度
写入速度,寫入速度
睡眠中,睡眠中
产品兼容列表,產品相容性清單
无法检测,無法偵測
擦除数据,擦除資料
数据整理,資料整理
外部存储管理,外部儲存管理
添加小组件,新增小工具
健康检测计划,健康檢測計畫
计划,計畫
ext4延迟配置,Ext4 延遲配置
高级设置,進階設定
坏扇区系统警告,壞軌系統警告
整理条件,整理條件
用户读写优先,使用者讀寫優先
允许使用,允許使用
禁止使用,禁止使用
文件碎片整理,檔案碎片重組
U盘,隨身碟
外部存储阵列,外部儲存陣列
预览效果,預覽效果
展示管理,顯示項目管理
项目,項目
创建存储空间,建立儲存空間
性能选项,效能選項
快速修复,快速修復
TRIM优化,TRIM 最佳化
IHM检测,IHM 檢測
S.M.A.R.T.检测,S.M.A.R.T. 檢測
快速检测,快速檢測
完整检测,完整檢測
正常,正常
警告,警告
降级,降級
损毁,損毀
危险,危險
现值,現值
通电时间,通電時間
硬盘容量,硬碟容量
读写性能,讀寫效能
异常断电计数,異常斷電計數
组成硬盘,組成硬碟
视图大小,視圖大小
筛选,篩選
智能设置,智慧設定
按名称,依名稱
时间流,時間軸
添加到合集,新增到合集
智能分类,智慧分類
我的相册,我的相簿
共享相册,共用相簿
上传至指定文件夹,上傳至指定資料夾
普通相册,普通相簿
未命名相册,未命名相簿
从图库添加,從圖庫新增
显示照片来源者,顯示照片來源者
图片位置信息,圖片位置資訊
宫格视图,網格視圖
时间轴视图,時間軸視圖
重命名,重新命名
放大,放大
缩小,縮小
外部链接共享,外部連結共享
内部共享,內部共享
拍摄时间,拍攝時間
创建与上传,建立與上傳
筛选与排序,篩選與排序
新建类型,新建類型
解绑设备,解綁裝置
随机播放,隨機播放
顺序播放,順序播放
循环,循環
歌手,歌手
单曲,單曲
确认删除,確認刪除
移除成功,移除成功
时长,時長
取消全选,取消全選
最近播放,最近播放
定时停止,定時停止
加密,加密
批量操作,批次操作
个人音乐库,個人音樂庫
共享音乐库,共用音樂庫
主机,主機
说明书,說明書
保修卡,保固卡
电源线,電源線
网线,乙太網路線
热导硅胶片,導熱矽膠片
螺丝钉,螺絲釘
螺丝刀,螺絲起子
童锁,兒童安全鎖
电源键,電源鍵
指示灯,指示燈
SD卡槽,SD卡槽
磁吸,磁吸
防尘网,防塵網
网口,網路連接埠
复位键,重設按鈕
面板,面板
内存条,記憶體模組
硬盘,硬碟
托架,托架
手柄,手柄
固定柱,固定柱
螺孔,螺絲孔
金手指,金屬接頭
背膜,背膜
底盖,底蓋
PCIe扩展卡,PCIe擴充卡
脚垫,腳墊
散热网,散熱網
外壳,外殼
弹簧,彈簧
路由器,路由器
接地插座,接地插座
系统休眠,系統休眠
故障,故障
数据传输,資料傳輸
重置,重設
常亮,常亮
闪烁,閃爍
呼吸,呼吸
慢闪,慢閃
响一次,響一次
间隔响,間隔響
蜂鸣器,蜂鳴器
状态,狀態
拧开,擰開
拧紧,擰緊
对齐,對齊
导热硅胶垫,導熱片
散热器,散熱器
硬盘休眠,硬碟休眠
清空,清空
文件收集,檔案收集
属性,屬性
压缩,壓縮
分享的目录,分享的目錄
权限,權限
异步,非同步
文件去重,檔案重複資料刪除
未开启,未開啟
只允许管理者访问,只允許管理者存取
指定文件,指定檔案
装载,裝載
端口,連接埠
解压缩,解壓縮
升级/更新,升級/更新
网络异常,網路異常
"内容不能为空 
",內容不能為空
所有分享,所有分享
大小,大小
覆盖,覆寫
共享文件链接数限制,共享檔案連結數限制
文件请求链接数限制,檔案請求連結數限制
剪切,剪下
新增容量,新增容量
根目录,根目錄
连接网络文件夹,連線網路資料夾
添加到,新增到
提示,提示
当前文件夹,目前資料夾
子文件夹,子資料夾
文档,文件
最小值,最小值
最大值,最大值
任意大小文件,任意大小檔案
修改日期,修改日期
最近访问日期,最近存取日期
请选择日期,請選擇日期
这里空空的,無檔案
已复制到剪切板,已複製到剪貼簿
去重,重複資料刪除
用户对文件的操作行为,使用者對檔案的操作行為
代码页,代碼頁
简体中文,簡體中文
繁体中文,繁體中文
非管理员用户,非管理員使用者
放开文件限制,放開檔案限制
关联文件,關聯檔案
关联,關聯
允许以下用户创建文件收集任务,允許以下使用者建立檔案收集任務
最近访问,最近存取
由大到小,由大到小
由小到大,由小到大
无限额,無限額
标签,標籤
重名文件,同名檔案
重名文件处理规则,同名檔案處理規則
智能整理,智慧整理
智能文件整理,智慧檔案整理
智能标签,智慧標籤
智能重命名,智慧重新命名
切换至后台,切換至背景
审批同意,審批同意
等待审批,等待審批
申请理由,申請理由
导入用户,匯入使用者
浏览,瀏覽
下载模板,下載模板
权限查看器,權限檢視器
查询,查詢
密码强度规则,密碼強度規則
阻止包含用户名称,阻止包含使用者名稱
常用密码,常用密碼
多个,多個
优先级,優先順序
强制,強制
服务器签发,伺服器簽發
跨协议文件,跨協定檔案
锁定,鎖定
多通道,多通道
租用,租用
清除缓存,清除快取
VFS模块,VFS模組
转换,轉換
跨共享文件夹的（符号连接）,跨共用資料夾的
调试,測試
验证,驗證
通配符,萬用字元
超时,超時
编码,編碼
被动式,被動式
联机数,連線數
局域网,區域網路
最大NFS协议,最大NFS協定
自定义,自訂
外网,遠端存取
解除,解除
网上邻居,網路芳鄰
指向,指向
动态分配,動態分配
方式一,方式一
设备异常,裝置異常
上次更新时间,上次更新時間
有效连接,有效連線
重定向,重新定向
带宽,頻寬
高并发连接,高併發連線
同时连接数,同時連線數
标题,標題
解析错误,解析錯誤
等待中,等待中
高强度密码,高強度密碼
自动封锁,自動封鎖
硬件与电源,硬體與電源
内存压缩,記憶體壓縮
使用率,使用率
性能,效能
哔声,嗶聲
冷却风扇,冷卻風扇
开机,開機
关机,關機
HTTP服务,HTTP服務
HTTPS服务,HTTPS服務
功能说明,功能說明
亮度,亮度
拖拽,拖曳
多选,多選
与同步,與同步
默认网关,預設閘道
多网关,多閘道
解析域名,網域名稱解析
IP冲突检测,IP衝突偵測
全双工,全雙工
前缀长度,字首長度
首选,首選
流量控制,流量控制
带宽流量,頻寬流量
进站流量,進站流量
出站流量,出站流量
退出,退出
用户登陆会话,使用者登入會話
解锁时间,解鎖時間
跨网站,跨網站
内容安全政策,內容安全政策
伪造攻击,偽造攻擊
及以上版本,及以上版本
下拉列表,下拉選單
特定IP地址,特定IP位址
私钥,私鑰
中间证书,中繼憑證
认证机构,憑證機構
格式说明,格式說明
密码短语,密碼短語
延长,延長
有效期,有效期
浏览体验,瀏覽體驗
关于本机,關於本機
型号,型號
序列号,序號
上次开机时间,上次開機時間
发现服务,探索服務
参阅,參閱
高于当前版本,高於目前版本
原始设置,原始設定
恢复出厂设置,恢復原廠設定
自定义域名,自訂網域名稱
云端,雲端
一键配置,一鍵設定
手动设置,手動設定
线程数,執行緒數
网卡型号,網絡卡型號
存储空间与分区,儲存空間與分割區
轮询模式,輪詢模式
动态链路聚合,動態鏈路聚合
DDNS服务商,DDNS服務商
不再提醒/不再询问,不再提醒/不再詢問
UID/GID转换,UID/GID映射
收集调试日志,收集除錯日誌
鼠标左键拖拽可进行排序,滑鼠左鍵拖曳可進行排序
文件夹已使用,資料夾已使用
内置服务,內建服務
头像,頭像
不支持的格式 ,不支援的格式 
1.0版本或者更高版本,1.0版本或者更高版本
超过1周,超過1周
禁止访问,禁止存取
门户设置,入口網站設定
自动重定向,自動重新導向
终端机,終端機
自动与时间服务器同步,自動與時間伺服器同步
系统运行时间,系統運作時間
不断电系统,不斷電系統
通电自动开机,通電自動開機
节能选项,節能選項
核心数,核心數
内存型号,記憶體型號
分区,分割區
存储池,儲存集區
未指定,未指定
工作群组,工作群組
登录样式,登入樣式
静音,靜音
全速,全速
账号封锁,帳號封鎖
NTLMv1验证,NTLMv1驗證
根公钥,根公開金鑰
首尾不能有空格,首尾不能有空格
rsync,rsync
LDAP加入向导,LDAP加入精靈
保修到期,保固到期
普通用户,一般使用者
管理员,管理員
子网掩码,子網路遮罩
媒体库,媒體庫
第一季 第一集,第一季 第一集
智能识别,智慧辨識
申请教程,申請教學
上映日期,上映日期
从头播放,從頭播放
已观看,已觀看
未观看,未觀看
未看完,未看完
标记为已观看,標記為已觀看
标记为未观看,標記為未觀看
继续播放,繼續播放
首页,首頁
播放,播放
合集,合集
手动识别,手動辨識
视图,檢視
综合,綜合
更早,更早
剧集,電視劇
元数据刮削,後設資料擷取
额外配置,額外配置
缺失,缺失
多条请换行,多條請換行
分配权限,分配權限
允许访问,允許存取
评分,評分
删除源文件,刪除原始檔
重新匹配,重新掃描
长宽比,長寬比
帧率,幀率
比特率,位元率
位深度,位深度
色度转换,色彩採樣
编辑元数据,編輯後設資料
画中画,畫中畫
快进,快轉
快退,倒轉
音画,影音
原画,原畫
采样率,取樣率
网盘播放模式,雲端硬碟播放模式
网盘直链播放,雲端硬碟直接播放
分辨率,解析度
隔行扫描,隔行掃描
缓存空间上限,快取空間上限
预缓冲数据,預緩衝資料
播放预缓冲,播放預緩衝
我的下载,我的下載
TMDB API密钥,TMDB API金鑰
识别剧集片头片尾,辨識劇集片頭片尾
跳过片头片尾,跳過片頭片尾
清晰度,清晰度
超清,超高清
高清,高清
全高清,全高清
标清,標準
流畅,流暢
同步,同步
版本保留,版本保留
处理中,處理中
还原,還原
保留,保留
我知道了,OK
上一步,上一步
返回,返回
双向同步,雙向同步
文件冲突,檔案衝突
待处理任务,待處理任務
备份目的地,備份目的地
切换同步策略,切換同步策略
速度限制,速度限制
敬请期待,敬請期待
传输加密,傳輸加密
备份偏好,備份偏好
应用库,應用庫
清理,清理
清理已完成的任务,清理已完成的任務
已完成的,已完成的
保持在桌面,保持在桌面
来源,來源
电源,電源
应用,應用
账号设置,帳號設定
更换,更換
电子邮件,電子郵件地址
上传（头像）,上傳（頭像）
默认（头像）,預設（頭像）
重新选择,重新選擇
支持格式：,支援格式：
大小不超过,大小不超過
取消,取消
确定,確定
上次更改,上次更改
修改,修改
账号活动,帳號活動
管理,管理
当前帐号连接,目前帳號連線
账号登录日志,帳號登入日誌
存储配额,儲存配額
个人文件夹,個人資料夾
共享文件夹,共用資料夾
官网,官網
个性化设置,個性化設定
壁纸,桌布
填充,填充
适应,適應
拉伸,拉伸
居中,居中
平铺,平鋪
时间与语言,時間與語言
系统语言,系統語言
网页登录语言,網頁登入語言
日期格式,日期格式
重新启动,重新啟動
确定要重新启动吗,確定要重新啟動嗎
是否继续,是否繼續
正在进行的任务,正在進行的任務
终止,終止
更改壁纸,更改桌布
请选择需要接受的通知来源,請選擇需要接受的通知來源
暂无任务,暫無任務
连接带宽,連線頻寬
邮箱,電子信箱
所有者,所有者
共享者,共享者
双重验证,雙重驗證
撤销信任,撤銷信任
车机,車載
账号安全,帳號安全
登录,登入
退出登录,登出
压缩文件,壓縮檔
缩略图,縮圖
列表视图,清單
历史记录,歷史紀錄
相似度,相似度
保留历史条数,保留歷史條數
不准确,不準確
排除路径,排除路徑
文档语义搜索 (AI),文件語意搜尋 (AI)
语义搜索,語意搜尋 
文档内容搜索,文件內容搜尋
图像,影像
索引配置,索引配置
最佳结果,最佳結果
探索,探索
智能学习,智慧學習
智能指令,智慧指令
联网搜索,線上搜尋
迁移数据,遷移資料
深度模式,深度模式
快速模式,快速模式
本地模型,本地模型
云端模型,雲端模型
响应速度,響應速度
人物识别,人物辨識
文字识别,文字辨識
画面识别,畫面辨識
相似/重复照片识别,相似/重複照片辨識
宠物识别,寵物辨識
敏感内容识别,敏感內容辨識
自定义学习,自訂學習
场景、物体识别,場景、物件辨識
大语言模型,大型語言模型
语音识别,語音辨識
向量模型,向量模型
全时段,全時段
授权AI模型,授權AI模型
授权智能指令,授權智慧指令
AI资源包,AI資源套件
本地AI助手,本地AI助手
新对话,新對話
知识库,知識庫
GPU加速,GPU加速
历史对话,歷史對話
仅同步到电脑,僅同步到電腦
AI技能,AI技能
知识库问答,知識庫問答
工具调用,工具呼叫
工具参数,工具參數
系统开机,系統開機
系统关机,系統關機
最大搜索结果数,最大搜尋結果數
截断,截斷
截断长度,截斷長度
换一换,換一換
安装向导,安裝精靈
文件智能搜索,檔案智慧搜尋
视觉语言模型,視覺語言模型
运行时间,執行時間
上次使用路径,上次使用路徑
漫画库文件夹,漫畫庫資料夾
漫画库类型,漫畫庫類型
章节漫画,章節漫畫
单篇漫画,單篇漫畫
压缩包,壓縮檔
切割白边,切割白邊
刘海区显示内容,瀏海區顯示內容
背景色,背景色
跟随阅读方向,跟隨閱讀方向
反转点击区域,反轉點選區域
适应屏幕,適應螢幕
适应宽度,適應寬度
适应高度,適應高度
横屏,橫屏
竖屏,豎屏
屏幕方向,螢幕方向
阅读方向,閱讀方向
从上到下,從上到下
从左到右,從左到右
从右到左,從右到左
交换双页,交換雙頁
取消交换双页,取消交換雙頁
单页显示,單頁顯示
双页显示,雙頁顯示
拆分双页,拆分為雙頁
翻页效果,翻頁效果
排列数量,版面密度
宽松,寬鬆
标准,標準
紧密,緊湊
已转写,已轉寫
未转写,未轉寫
脑图,心智圖
AI帮写,AI幫寫
标记了重点,標記了重點
查看标记,檢視標記
发言人,發言者
关闭翻译,關閉翻譯
返回顶部,返回頂部
授权码,授權碼
时间戳,時間戳記
行人检测,行人偵測
宠物检测,寵物偵測
包裹检测,包裹偵測
人脸识别,人臉辨識
车牌识别,車牌辨識
人物身份识别,人物屬性辨識模型
宠物行为识别,寵物行為辨識
人物年龄,人物年齡辨識
人物行为识别,人物行為辨識
车辆类型识别,車輛類型辨識
宠物类别毛色识别,寵物品種與毛色辨識
通用检测模型,通用偵測模型
人脸识别模型,人臉辨識模型
车牌识别模型,車牌辨識模型
人物属性识别模型,人物屬性辨識模型
视觉语言大模型,視覺語言模型
摄像头,攝影機
镜头,鏡頭
静态IP,靜態IP
查看回放,檢視回放
默认顺序,預設順序
仅事件,僅事件
存储模式,儲存模式
多画面,多畫面
车辆检测,車輛偵測
人物检测,人物偵測
过去 3 天,過去 3 天
最近事件,最近事件
全部事件,全部事件
由 %s 捕捉,由 %s 捕捉
录像存储天数限制,錄影儲存天數限制
录像保存位置,錄影儲存位置
录像占用容量限制,錄影占用容量限制
未设置,未設定
未选择,未選擇
云台,雲臺
总览,總覽
工单/问题单,工單/問題單
添加连接,新增連線
百度网盘,百度網盤
容量,容量
间隔时间,間隔時間
同步A至B,同步A至B
前缀,字首
拓展名,副檔名
当文件冲突时,當檔案衝突時
手动点击,手動點選
常规,一般
关闭,關閉
定时查杀,排程掃描
全盘查杀,全盤掃描
自定义查杀,自訂掃描
隔离区,隔離區
查看并处理,檢視並處理
距离上一次查杀已经,距離上一次掃描已經
新建,新建
立即查杀,立即掃描
创建者,建立者
查杀范围,掃描範圍
触发周期,觸發週期
信任名单,信任名單
检查更新,檢查更新
默认处置规则,預設處置規則
可疑文件数,可疑檔案數
所在路径,所在路徑
失效（项）,失效（項）
暂无信任名单记录,暫無信任名單紀錄
级别,級別
普通,普通
操作者,使用者
设置,設定
病毒资料库,病毒資料庫
自动更新,自動更新
定期,定期
暂不更新,暫不更新
处置规则,處置規則
入侵防护,入侵防護
实时防护,實時防護
未处理,未處理
已用时,已用時
查杀中...,掃描中...
查杀用时,掃描用時
入侵,入侵
防护,防護
自签名证书,自簽章憑證
指定关系人,指定聯絡人
完成时间,完成時間
监听路径,監聽路徑
超时取消,超時取消
做种,做種
初始化,初始化
排队中,排隊中
全局最大并发任务数,全域最大併發任務數
单用户最大并发任务数,單一使用者最大併發任務數
空闲时长高于,空閒時長高於
异常,異常
资源所属,資源所屬
任务进度,任務進度
并发任务数,併發任務數
超过此数值,超過此數值
等待队列,等待隊列
对..生效,對..生效
限速下载,限速下載
按时段限速,按時段限速
分享率,分享率
分行输入,分行輸入
镜像仓库,映像儲存庫
导出为OVA,匯出為OVA
虚拟桥接,虛擬橋接
自动换行,自動換行
查找替换,尋找與取代
自动匹配,自動配對
缩进方式,縮排方式
制表符缩进,Tab 縮排
服务运行正常,服務執行正常
容器,容器
镜像,映像
数据量,資料量
资源占用,資源占用
运行中,執行中
常用镜像,常用映像
本地镜像,本地映像
镜像源,映像源
版本号,版本號
别名,別名
加速器配置,加速器配置
字符,字元
字符数限制,字元數限制
特殊字符,特殊字元
命名限制,命名限制
首字母,首字母
访问配置,存取配置
存储空间,儲存空間
代理,代理
映射,對映
自动分配,自動分配
读写,讀寫
桥接,橋接
桥接模式,橋接模式
私有网络,私有網路
端口映射,埠對映
指定端口,指定埠
终端设备,終端裝置
容器运行指令,容器執行指令
环境变量,環境變數
值,值
特权模式,特權模式
运行中的容器,執行中的容器
固定的,固定的
网关,閘道器
具体参数,具體引數
IP伪装,IP偽裝
迁移,遷移
数据迁移,資料遷移
剩余时间,剩餘時間
剩余容量,剩餘容量
确定重新部署,確定重新部署
自动通知,自動通知
归档策略,歸檔策略
归档查看器,歸檔檢視器
逻辑语句,邏輯語句
设定值,設定值
日志存留时间,日誌存留時間
全选,全選
传输日志,傳輸日誌
诊断日志,診斷日誌
策略配置,策略配置
归档路径,歸檔路徑
暂不选择,暫不選擇
日志数据量,日誌資料量
默认保留,預設保留
无法解析的归档,無法解析的歸檔
影视,影片
视频,影片
访问,存取
账号,帳號
识别,辨識 
检测,偵測
英寸,英寸
当前,目前
占用,占用
身份,身分
登记,登記
网络,網路
网络上下行,網路上傳／下載
偏好,偏好
分割槽,分割區
数字空间,數位空間
文件,檔案
导入,匯入
导出,匯出
原图,原圖
装载,掛載
卸载,卸載
工具包,工具套件
算力卡,運算卡
